,תאריך ביקור,יישוב,Date,Time,Hour,x,y
164,2020-01-21 09:17:00,חדרה,2020-01-21,09:17:00,9,192540.0,704671.0
165,2020-01-21 10:01:00,פרדס חנה-כרכור,2020-01-21,10:01:00,10,197945.0,708805.0
166,2020-01-21 10:53:00,נתניה,2020-01-21,10:53:00,10,187251.0,691401.0
167,2020-01-23 09:03:00,פרדס חנה-כרכור,2020-01-23,09:03:00,9,197945.0,708805.0
168,2020-01-23 09:28:00,פוריידיס,2020-01-23,09:28:00,9,195797.0,722658.0
169,2020-01-23 09:55:00,פרדס חנה-כרכור,2020-01-23,09:55:00,9,197945.0,708805.0
170,2020-01-23 10:16:00,חדרה,2020-01-23,10:16:00,10,192540.0,704671.0
171,2020-01-23 10:38:00,חדרה,2020-01-23,10:38:00,10,192540.0,704671.0
172,2020-01-23 10:56:00,חדרה,2020-01-23,10:56:00,10,192540.0,704671.0
173,2020-01-23 10:58:00,פרדס חנה-כרכור,2020-01-23,10:58:00,10,197945.0,708805.0
174,2020-01-23 11:21:00,אביאל,2020-01-23,11:21:00,11,199615.0,715338.0
175,2020-01-27 11:49:00,אור עקיבא,2020-01-27,11:49:00,11,192712.0,712692.0
176,2020-01-28 09:06:00,כפר קרע,2020-01-28,09:06:00,9,205020.0,712373.0
177,2020-01-28 10:15:00,אור עקיבא,2020-01-28,10:15:00,10,192712.0,712692.0
178,2020-01-28 10:18:00,אור עקיבא,2020-01-28,10:18:00,10,192712.0,712692.0
179,2020-01-28 10:31:00,פרדס חנה-כרכור,2020-01-28,10:31:00,10,197945.0,708805.0
180,2020-01-28 11:13:00,ג'ת,2020-01-28,11:13:00,11,203558.0,700670.0
181,2020-01-30 09:23:00,אור עקיבא,2020-01-30,09:23:00,9,192712.0,712692.0
182,2020-02-03 11:12:00,באקה אל-גרביה,2020-02-03,11:12:00,11,204130.0,702898.0
183,2020-02-03 11:27:00,חדרה,2020-02-03,11:27:00,11,192540.0,704671.0
184,2020-02-04 09:06:00,פרדס חנה-כרכור,2020-02-04,09:06:00,9,197945.0,708805.0
185,2020-02-04 09:08:00,אור עקיבא,2020-02-04,09:08:00,9,192712.0,712692.0
186,2020-02-04 09:11:00,חדרה,2020-02-04,09:11:00,9,192540.0,704671.0
187,2020-02-04 09:12:00,בנימינה-גבעת עדה,2020-02-04,09:12:00,9,196683.0,714176.0
188,2020-02-04 09:14:00,אור עקיבא,2020-02-04,09:14:00,9,192712.0,712692.0
189,2020-02-04 10:52:00,קציר,2020-02-04,10:52:00,10,209953.0,710227.0
190,2020-02-04 11:00:00,"בסמ""ה",2020-02-04,11:00:00,11,210076.0,715130.0
191,2020-02-06 08:53:00,בנימינה-גבעת עדה,2020-02-06,08:53:00,8,196683.0,714176.0
192,2020-02-06 08:53:00,תלמי אלעזר,2020-02-06,08:53:00,8,198109.0,705718.0
193,2020-02-06 09:37:00,חדרה,2020-02-06,09:37:00,9,192540.0,704671.0
194,2020-02-06 09:45:00,חדרה,2020-02-06,09:45:00,9,192540.0,704671.0
195,2020-02-06 09:59:00,חדרה,2020-02-06,09:59:00,9,192540.0,704671.0
196,2020-02-06 10:19:00,אור עקיבא,2020-02-06,10:19:00,10,192712.0,712692.0
197,2020-02-06 10:58:00,חדרה,2020-02-06,10:58:00,10,192540.0,704671.0
198,2020-02-06 11:14:00,ג'סר א-זרקא,2020-02-06,11:14:00,11,191963.0,715851.0
199,2020-02-10 10:44:00,חדרה,2020-02-10,10:44:00,10,192540.0,704671.0
200,2020-02-11 08:22:00,חדרה,2020-02-11,08:22:00,8,192540.0,704671.0
201,2020-02-11 09:07:00,משמרות,2020-02-11,09:07:00,9,198767.0,710306.0
202,2020-02-11 09:39:00,חדרה,2020-02-11,09:39:00,9,192540.0,704671.0
203,2020-02-11 10:18:00,חדרה,2020-02-11,10:18:00,10,192540.0,704671.0
204,2020-02-11 10:29:00,אור עקיבא,2020-02-11,10:29:00,10,192712.0,712692.0
205,2020-02-13 08:16:00,בנימינה-גבעת עדה,2020-02-13,08:16:00,8,196683.0,714176.0
206,2020-02-13 09:00:00,ג'סר א-זרקא,2020-02-13,09:00:00,9,191963.0,715851.0
207,2020-02-13 09:02:00,ג'סר א-זרקא,2020-02-13,09:02:00,9,191963.0,715851.0
208,2020-02-13 10:29:00,אלישיב,2020-02-13,10:29:00,10,191718.0,698592.0
209,2020-02-13 10:36:00,חריש,2020-02-13,10:36:00,10,204728.0,707386.0
210,2020-02-13 10:51:00,פרדס חנה-כרכור,2020-02-13,10:51:00,10,197945.0,708805.0
211,2020-02-13 11:15:00,חדרה,2020-02-13,11:15:00,11,192540.0,704671.0
212,2020-02-17 12:13:00,זכרון יעקב,2020-02-17,12:13:00,12,195812.0,719605.0
213,2020-02-17 12:22:00,ערערה,2020-02-17,12:22:00,12,208681.0,711765.0
214,2020-02-17 12:32:00,חדרה,2020-02-17,12:32:00,12,192540.0,704671.0
215,2020-02-18 09:44:00,באקה אל-גרביה,2020-02-18,09:44:00,9,204130.0,702898.0
216,2020-02-18 09:47:00,מייסר,2020-02-18,09:47:00,9,204169.0,705643.0
217,2020-02-18 10:39:00,אום אל-פחם,2020-02-18,10:39:00,10,214505.0,714034.0
218,2020-02-18 10:42:00,חדרה,2020-02-18,10:42:00,10,192540.0,704671.0
219,2020-02-20 08:53:00,חדרה,2020-02-20,08:53:00,8,192540.0,704671.0
220,2020-02-20 10:03:00,באקה אל-גרביה,2020-02-20,10:03:00,10,204130.0,702898.0
221,2020-02-20 10:43:00,חדרה,2020-02-20,10:43:00,10,192540.0,704671.0
222,2020-02-20 11:02:00,פרדס חנה-כרכור,2020-02-20,11:02:00,11,197945.0,708805.0
223,2020-02-20 11:10:00,עמיקם,2020-02-20,11:10:00,11,202218.0,718782.0
224,2020-02-24 10:37:00,ג'סר א-זרקא,2020-02-24,10:37:00,10,191963.0,715851.0
225,2020-02-24 11:08:00,חורה,2020-02-24,11:08:00,11,193911.0,578430.0
226,2020-02-25 08:56:00,פרדס חנה-כרכור,2020-02-25,08:56:00,8,197945.0,708805.0
227,2020-02-25 09:13:00,אור עקיבא,2020-02-25,09:13:00,9,192712.0,712692.0
